Date,Open,High,Low,Close,Volume,return_1d,log_return_1d,log_return_cum,dow_sin,dow_cos,month_sin,month_cos,is_month_end,is_quarter_end,week_of_year,return_lag1d,return_lag5d,return_lag10d,return_lag21d,roll5d_mean,roll5d_std,roll5d_skew,roll5d_kurt,roll5d_close_ma,roll10d_mean,roll10d_std,roll10d_skew,roll10d_kurt,roll10d_close_ma,roll21d_mean,roll21d_std,roll21d_skew,roll21d_kurt,roll21d_close_ma,roll63d_mean,roll63d_std,roll63d_skew,roll63d_kurt,roll63d_close_ma,volatility_ann,rsi_14,bb_upper,bb_lower,bb_width,bb_pct,atr_14,ma_cross_50_200,target_5d
2010-10-19,6114.4501953125,6127.0498046875,6008.14990234375,6027.2998046875,0,-0.008007042365576478,-0.008039270881310663,0.14146723981251627,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,0,42,-0.008007042365576478,-0.010441822830116965,-0.01928146112237794,0.00783379308329013,-0.00209934423111692,0.01597065645949298,1.1373852164668603,1.4304040099419748,6115.42998046875,-0.0019469773043129183,0.011799733670751301,0.9142649468668052,1.279749497047009,6121.410009765625,0.00037158420188045327,0.009731630469792198,0.5218905461180211,0.7373758222099084,6082.240443638393,0.0017463575051430537,0.008435478736709419,0.358354547955653,0.12109861748432876,5709.165883866567,0.15448484444549296,52.37153539933454,6236.75158182637,5935.048369345505,0.04957413261656792,0.3057688202370257,103.95005580357143,0.07602637454420841,0.009075406414985165
2010-10-20,6002.9501953125,6038.10009765625,5966.75,5982.10009765625,0,-0.007499163555145794,-0.007527423655550523,0.13393981615696574,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,0,42,-0.007499163555145794,-0.040392019222642794,-0.03303188277682845,-0.004484853330759098,-0.00824608625522236,0.007423348044261188,-0.019971362603620747,1.8821173981293373,6065.07001953125,-0.003358975488607215,0.011505475791245369,1.3763693183024266,2.7066034906164527,6100.975,-0.0002140447836322307,0.009823267790418266,0.6716457538000223,0.7735908994768234,6080.957124255952,0.0015021302349124297,0.008478278551057756,0.4141889469174157,0.12158439722770013,5717.739691840277,0.15593954181262615,46.874794702806206,6237.532822468156,5933.377138469345,0.04998076314342943,0.16019085537489347,102.98577008928571,0.07771723030156447,0.0051068695255482854
2010-10-21,6008.89990234375,6113.5,5984.89990234375,6101.5,0,0.01995952932825884,0.019762949379863604,0.15370276553682935,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,0,42,0.01995952932825884,-0.012278743548148285,-0.003071713034891066,0.01844433316641636,-0.002470950027497253,0.014469091153902347,0.8916932717674128,1.0283101134898622,6049.9,-0.00030764404286559024,0.013242474979718864,0.7850993407651279,-0.08601123698832376,6099.09501953125,0.0008702999756175495,0.010715671731803208,0.5397426785926538,-0.019031702944744877,6086.219029017857,0.0017949867816581444,0.00878474979365878,0.4186267083480297,-0.04686524814415747,5728.095245845734,0.17010601520013666,47.284522178306176,6232.668434024523,5952.436546444227,0.04599581013532072,0.5319289494242915,103.57505580357143,0.07775338007623639,-0.018651119345652667
2010-10-22,6113.39990234375,6121.10009765625,6041.35009765625,6066.0498046875,0,-0.0058100787203966275,-0.005827022890950839,0.14787574264587852,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,0,42,-0.0058100787203966275,0.0005607947677195302,-0.00612774568943375,0.017870477383414407,0.00011212751621946358,0.011732004761415381,1.6514679393108949,2.438222508377033,6050.57998046875,-0.0006146597374728456,0.013340791917491927,0.8452100410027635,-0.08784471495240607,6095.35498046875,0.0008434608381334493,0.010732495357614528,0.5423873423777849,-0.0312446860980351,6091.290457589285,0.0017915892408527263,0.008787701962792363,0.4185126112985734,-0.0492618770625707,5738.3722253224205,0.17037308198041962,44.09531994127547,6231.305749943707,5958.574230525042,0.044747203394233465,0.39407096910377254,103.65004185267857,0.0797031027257718,-0.007970526278508028
2010-10-25,6101.25,6151.2998046875,6094.60009765625,6105.7998046875,0,0.006552864100997535,0.006531487421865502,0.154407230067744,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,0,43,0.006552864100997535,0.004912747539969731,-0.004897494640592415,0.01453898988745106,0.0009801438747834169,0.012079706795091892,1.213271822025743,0.18463976046079722,6056.54990234375,-0.0004909526668071685,0.013407244149581218,0.8072431503926621,-0.20994972213020294,6092.349951171875,0.000687348198083709,0.0106187918291479,0.5839715990344315,0.13155574514647875,6095.457124255952,0.001860150223159355,0.00880786249529322,0.3941212595681511,-0.08956142337264297,5749.089680989583,0.16856809442334011,47.55202250991802,6231.971201051631,5964.923769651493,0.04378941231216388,0.5275318856181818,104.71787806919643,0.08063537981545793,0.0019243998126141637
2010-10-26,6116.2998046875,6120.25,6074.64990234375,6082.0,0,-0.003897901249436453,-0.003905517865498991,0.150501712202245,0.9510565162951535,0.30901699437494745,-0.8660254037844386,0.5000000000000001,0,0,43,-0.003897901249436453,0.009075406414985165,-0.001461180201028367,0.007679388037111101,0.0018068944779457512,0.011432186255485238,1.2410446098742807,0.5258742556138797,6067.48994140625,-0.00014622487658558494,0.013254658524623842,0.7547849204165256,-0.16257591453382503,6091.4599609375,0.00036428817292876234,0.010651937109786338,0.6742221625582455,0.18118329487427082,6097.664271763393,0.001895055214741498,0.008780103415607761,0.39327113545371906,-0.06616633313068945,5759.953969804067,0.16909425944156864,43.47308977560371,6230.902105803065,5971.242864900059,0.04255960595886005,0.426548020069555,102.43216378348214,0.08244512335323494,0.006083525156198588
2010-10-27,6075.4501953125,6075.9501953125,5987.5498046875,6012.64990234375,0,-0.011402515234503419,-0.011468022351340748,0.13903368985090425,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5000000000000001,0,0,43,-0.011402515234503419,0.0051068695255482854,-0.035491426469138054,-0.0027946094462641957,0.0010187747387877064,0.012336610033872009,0.9689152381479376,0.173898689239716,6073.59990234375,-0.0036136557582173274,0.010769227230875608,1.0834801236894689,1.6337070383469197,6069.3349609375,-0.00013326293607993295,0.01095939192701002,0.7002622925415365,0.014682281040000678,6096.861886160715,0.0016796799991404985,0.008939943556822682,0.3915766878832756,-0.15581054965057753,5769.537303137401,0.1739749533561447,43.29993842922187,6228.473250078381,5975.806730390368,0.041406214884019486,0.14581738806896544,102.61073521205357,0.08475214730791768,0.024589839764097565
2010-10-28,6039.9501953125,6071.10009765625,5968.10009765625,5987.7001953125,0,-0.004149535967747697,-0.004158169182956317,0.13487552066794795,-0.587785252292473,-0.8090169943749475,-0.8660254037844386,0.5000000000000001,0,0,43,-0.004149535967747697,-0.018651119345652667,-0.030700850582469852,-0.0006008060842129792,-0.003765448973776278,0.006514991773704674,0.9431422327328061,2.254700520803489,6050.83994140625,-0.0031181995006367663,0.010600776624224244,0.9799164934718527,1.693067767309471,6050.369970703125,-2.8618411452954433e-05,0.010907374943589098,0.68599973936017,0.04355410376705462,6096.690476190476,0.0017353412425802743,0.008891610858528829,0.3932217209539154,-0.11929159681240974,5779.380161830357,0.17314920934364353,42.86770767518127,6232.697469882542,5967.357510586209,0.043498157954389396,0.07666649523968631,104.13929966517857,0.08615486377102798,0.049117290408968284
2010-10-29,6021.14990234375,6032.64990234375,5937.10009765625,6017.7001953125,0,0.005010270892234381,0.004997761252085383,0.13987328192003332,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,0,43,0.005010270892234381,-0.007970526278508028,-0.007414201340221416,-0.002031525900416664,-0.0016004921451690337,0.007397449684583269,-0.16956044064283413,-1.3962405498333972,6041.17001953125,-0.0007441823144747856,0.009290266444526728,1.2276667055831032,1.5174537188327537,6045.875,-9.683772610441675e-05,0.010869371724290672,0.7079003560279711,0.1095646726908795,6096.107142857143,0.0016263844724010163,0.00880717412771162,0.4184970454268245,-0.010997636420682686,5788.682547433035,0.1725459269399426,42.69823499413073,6229.6316881894945,5957.853321576131,0.04459958168491568,0.22020470018317645,104.94287109375,0.08666113759457983,0.04245808061342471
2010-11-01,6092.2998046875,6132.39990234375,6084.75,6117.5498046875,0,0.016592652696918675,0.01645649867513474,0.15632978059516806,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,0,44,0.016592652696918675,0.0019243998126141637,0.006846601443029288,-0.004207783648658148,0.00038451010548481437,0.01071346936657458,0.817270281263827,0.31900848000159837,6043.52001953125,0.0006823269901341147,0.010768668118736913,0.8514808758391017,-0.5919923787227656,6050.0349609375,-0.00020079339440328504,0.010690177614484169,0.6839891454638387,0.1410433716221962,6094.876185825893,0.0018645294713653961,0.009003082831077074,0.38424433907914923,-0.1926734440978329,5799.444452194941,0.16970130863420896,51.54232949712581,6224.5300119994145,5958.764958703711,0.043627779502143214,0.597463225562305,106.92142159598214,0.0864644359345894,0.030077401226715317
2010-11-02,6127.5498046875,6138.10009765625,6094.39990234375,6119.0,0,0.000237054925386726,0.00023702683230754845,0.1565668074274756,0.9510565162951535,0.30901699437494745,-0.5000000000000004,0.8660254037844384,0,0,44,0.000237054925386726,0.006083525156198588,0.01521414203441207,-0.00656717629493675,0.001213019045046122,0.010455847400898532,0.5107295017288814,0.46002996239698507,6050.92001953125,0.001509956761495936,0.010333119513263237,0.7461886245718113,-0.48124420670558826,6059.20498046875,-0.00031375405113991903,0.010671517245555338,0.7216782112145886,0.20275309214354412,6092.949986049107,0.0017859234994994984,0.00899520218753331,0.4113915984655409,-0.16777195720069257,5809.780164930556,0.16940508446085856,42.04734787678062,6221.41947045131,5959.195519783065,0.04305594600576071,0.6094198482239825,99.29286411830357,0.08761668477539226,0.02560879152026474
2010-11-03,6150.60009765625,6182.5,6146.7998046875,6160.5,0,0.006782153946723213,0.0067592586021823315,0.16332606602965793,0.5877852522924732,-0.8090169943749473,-0.5000000000000004,0.8660254037844384,0,0,44,0.006782153946723213,0.024589839764097565,0.02982228639297535,0.002391909235521794,0.004858475235750738,0.0077589333612945515,0.6558364393685479,0.6823197746889953,6080.4900390625,0.002938624987269221,0.009924326038675038,0.4237012730613647,-0.5667812664527864,6077.044970703125,0.00011376443685773785,0.01077076216012026,0.5861831923493303,-0.0461927673602897,6093.649995349702,0.001953564574474187,0.008987791249734534,0.36143819446379494,-0.1899740497097432,5821.103972904266,0.17098054863781836,48.808928017958756,6216.581687518258,5961.438283184866,0.04190228049341272,0.7801954251383388,94.81427873883929,0.08843539366541377,0.00547845142439729
