Date,Open,High,Low,Close,Volume
2010-01-04,221.76374994808987,221.76374994808987,207.68884283111072,218.59307861328125,76646086
2010-01-05,233.7147728475599,233.7147728475599,216.5403128968154,217.61752319335938,21392825
2010-01-06,219.48736720498377,222.4547964156801,217.60732377724915,221.13368225097656,23691760
2010-01-07,221.13369260127268,226.62137802045964,219.1012039575348,224.80230712890625,26197920
2010-01-08,225.19867249877913,226.37751742460992,222.75969937170632,224.21292114257812,15110149
2010-01-11,230.6254013936368,233.6741417490703,213.41031888064853,219.8126220703125,188649642
2010-01-12,222.5564418350918,231.15382659982873,218.89797561433124,220.391845703125,32790509
2010-01-13,221.13368524886295,221.94666711176538,217.19066690840523,221.25563049316406,15360176
2010-01-14,220.7271801634623,228.61318944593737,220.7271801634623,227.98313903808594,24545629
2010-01-15,228.8164584932961,231.47901129095155,224.59907656426074,225.75758361816406,18766617
2010-01-18,224.9953950876499,226.9160869718196,221.93650687772967,223.47103881835938,14172193
2010-01-19,223.57265349183442,224.8022951490161,220.04629504097605,220.52394104003906,13064666
2010-01-20,222.55641753970988,222.9832394567088,217.8817142273996,218.99957275390625,19331024
2010-01-21,218.49147282056526,218.89797056544754,213.46109545060816,214.23342895507812,18611321
2010-01-22,211.58105087607228,217.6784898858188,209.2436990295434,214.19277954101562,39869565
2010-01-25,213.3391447466,214.3045718395903,210.70709176050235,211.79446411132812,13393277
2010-01-27,210.15831851992124,213.4102869421013,207.31284784645905,208.8473663330078,24843485
2010-01-28,211.3778376181081,212.68879004949946,208.3291242855175,210.798583984375,33223459
2010-01-29,209.9347683778924,213.77615297422096,206.92670360604905,212.63796997070312,23333042
2010-02-01,210.86969018774147,214.42653549523686,210.47335452328508,212.47535705566406,12132865
2010-02-02,213.81676984838998,214.70090007225627,208.146152744334,208.7965545654297,17248998
2010-02-03,209.56889573081114,213.0850925458313,209.56889573081114,210.14816284179688,15052266
2010-02-04,210.97131312036822,210.97131312036822,206.0933669779185,207.1400909423828,11974603
2010-02-05,198.16667810490787,204.82303234899214,198.16667810490787,199.52842712402344,29882876
2010-02-08,200.19916531937173,204.1320081977571,198.16669020266932,202.0995330810547,25894932
2010-02-09,201.9775670836325,202.8413730477967,199.73168785787988,201.87594604492188,14292031
2010-02-10,203.22754657324077,203.22754657324077,199.58940484671183,200.219482421875,18261247
2010-02-11,201.06295337766105,207.2721748879686,200.91050826021413,206.3270721435547,23450102
2010-02-15,208.73557365402837,208.73557365402837,204.79255516876518,205.2803497314453,13498617
2010-02-16,205.3006584514799,207.51606480831902,204.26409677992916,206.8555145263672,10068256
2010-02-17,208.32906806715738,210.9306344474846,207.72949038237454,209.86358642578125,15630122
2010-02-18,209.3453206623247,211.04244636976483,202.23164405886888,202.8007354736328,19834114
2010-02-19,202.23160650493003,202.23160650493003,198.6036273622279,199.83328247070312,17754534
2010-02-22,202.29261097428957,203.2478758973911,197.15043704263255,198.76626586914062,12692045
2010-02-23,197.96341786882738,199.7926507467419,197.15042246362952,198.23780822753906,12976934
2010-02-24,197.1504412441155,200.3414369810632,196.46956668550627,198.93902587890625,12487589
2010-02-25,199.20327118781512,200.19918463378352,194.94522699563592,195.748046875,18954063
2010-02-26,196.94719989715313,202.23164341906428,196.3882705885718,198.96951293945312,22579233
2010-03-02,200.19913172924353,203.04460184222867,199.0609355435134,199.83328247070312,18210596
2010-03-03,200.80889616908652,208.9388098402285,200.80889616908652,208.28842163085938,26623966
2010-03-04,211.37779683561857,211.37779683561857,204.87387360075638,206.09335327148438,20781218
2010-03-05,207.71933510255045,208.53231699135682,204.28443540479657,205.2397003173828,11774505
2010-03-08,207.55672654058208,208.73557130151778,203.65437008312156,204.08119201660156,11941298
2010-03-09,204.56899955705282,205.64620977928894,200.8190744208543,201.2865447998047,17459521
2010-03-10,202.23166105692414,207.08928305088494,201.07315392119236,205.0263214111328,24807175
2010-03-11,205.280371585907,207.3128604530913,204.67063170953352,206.59132385253906,14583772
2010-03-12,206.2966364203846,209.95508948767406,206.09338073646796,207.6380615234375,22333253
2010-03-15,207.71933290139904,209.74164584931262,205.9104241355507,208.948974609375,18131701
2010-03-16,209.75185127642789,217.84111830644224,209.14211134845507,217.05860900878906,33998717
2010-03-17,218.45079198012246,220.0157965332113,216.62155918343024,217.4142303466797,21599472
2010-03-18,218.28822441227263,219.83290494405537,216.2760735225433,218.88780212402344,15292424
2010-03-19,219.2638242694445,222.8613042834732,217.5057258971921,221.9568634033203,19737747
2010-03-22,215.8492502016269,223.36941072970242,215.8492502016269,218.27806091308594,20468483
2010-03-23,219.09105005712337,222.34301844130812,218.88780796892047,221.82473754882812,20005544
2010-03-25,222.7596938622301,222.9629495322047,218.97928221687656,221.8349151611328,22967888
2010-03-26,222.96292479208017,225.80839531548045,222.5869133767787,223.66412353515625,18075516
2010-03-29,224.32464812309135,225.59495167914162,221.74340616724356,222.21087646484375,20249784
2010-03-30,222.75967564646135,224.73117814888647,220.11746069336255,221.1641845703125,18938795
2010-03-31,222.12959289650718,222.55641480826768,217.73944210526378,218.33901977539062,21647708
2010-04-01,219.10121702770812,223.26780203646985,218.89797493499128,221.9568634033203,12519976
2010-04-05,222.86131146305416,229.59899056711905,222.86131146305416,228.8367919921875,19912935
2010-04-06,229.26362938057883,230.27986702020482,227.67828672330643,228.2880401611328,12481837
2010-04-07,228.65386589200872,233.67410837432516,228.2677059172732,229.609130859375,20218574
2010-04-08,230.2798326742515,230.99120705642716,223.87753107247775,224.9039306640625,14723428
2010-04-09,225.23930598452034,229.87337497001678,225.23930598452034,228.5928955078125,16826518
2010-04-12,232.71882980697578,232.71882980697578,228.17622007381053,229.13148498535156,12699784
2010-04-13,229.26359911921278,230.48307869877488,225.86936150925987,227.82052612304688,13971281
2010-04-15,228.65384232253044,230.66599309583495,220.9405886464889,221.6824493408203,24286918
2010-04-16,220.74753243550057,222.5564413324608,217.70898174143855,220.37152099609375,18193722
2010-04-19,219.46706157076156,219.46706157076156,213.61352661755546,215.80860900878906,16389189
2010-04-20,217.44477089482834,219.45692204607604,214.29442322941853,216.09317016601562,16748550
2010-04-21,217.47525098393282,218.22727390153412,213.03428891719597,214.2436065673828,19187549
2010-04-22,213.51189394685596,222.33284431398573,213.42043501211043,218.64390563964844,25598349
2010-04-23,219.50770754821187,222.75967589747378,219.50770754821187,221.17434692382812,23235165
2010-04-26,219.5076873562265,223.1255046950931,216.15409827244306,217.72927856445312,16652152
2010-04-27,216.05246450817077,217.06870192003544,214.42648736269936,215.69677734375,13970196
2010-04-28,214.21310985390085,214.21310985390085,205.68685981519405,206.75392150878906,40110291
2010-04-29,208.12579626569223,211.35743995848281,207.14004514998285,210.37168884277344,23447044
2010-04-30,211.37780291100904,212.8411866984806,209.34532768967017,210.0770263671875,15821019
2010-05-03,208.5323357552312,209.8737743086741,206.92668247360976,208.0750274658203,12535244
2010-05-04,208.1664870532127,211.17456509471197,205.99174232123318,207.5465850830078,17348783
2010-05-05,205.2803502796352,208.03436189396623,203.91860119617002,207.4449462890625,14976570
2010-05-06,207.27220999184993,207.98357091268818,204.06088982412237,204.84339904785156,23863448
2010-05-07,198.36990830113723,215.4427297792029,198.36990830113723,209.9143829345703,72063684
2010-05-10,215.19371398910917,221.5410038413194,212.94144455719166,221.00865173339844,38050844
2010-05-11,222.9742427488364,222.9742427488364,217.72236943954084,218.63351440429688,26325489
2010-05-12,220.32274928606998,223.06640815712126,217.86573420188253,221.73553466796875,15294301
2010-05-13,217.44598406073484,223.87517215339668,217.44598406073484,219.45254516601562,11947698
2010-05-14,218.6130799450154,219.28876766892134,211.9177083851688,213.68881225585938,18161695
2010-05-17,211.85624008449236,211.85624008449236,206.59412964188465,208.13999938964844,20611809
2010-05-18,208.8464214680918,211.6003174717347,206.3484437355556,208.96926879882812,15445191
2010-05-19,208.23218310643585,208.38575595668436,203.7481319713453,204.47500610351562,26097480
2010-05-20,204.95616167360689,207.4131768080571,203.47170164669672,204.7411651611328,18577281
2010-05-21,202.68343113347836,204.72070432576723,199.85786012249667,203.84027099609375,19167407
2010-05-24,208.43692862361226,214.77398147973042,208.11955933312416,209.38902282714844,24726303
2010-05-25,209.87017150581855,209.87017150581855,201.21942615211037,201.81320190429688,25245934
2010-05-26,203.70717200892034,206.79891205589595,202.90863696752186,206.399658203125,13726569
2010-05-27,207.0036578452797,210.42300424294828,205.07899498264422,209.30711364746094,27405100
2010-05-28,210.8836875291664,212.73668937933317,207.7202731898997,212.25552368164062,17535288
2010-05-31,210.92467408831843,214.68186484189647,210.63801660708117,214.0880889892578,16548811
2010-06-01,213.61715371385466,213.96522119040972,205.5908948408533,206.9115447998047,19466130
2010-06-02,207.8226424091893,209.05114291073193,205.43728867284364,207.0138702392578,19728249
2010-06-03,208.82597305710573,212.53196367378442,208.82597305710573,211.05775451660156,17106958
2010-06-04,211.09868565768667,212.1224544586062,209.34807012080068,211.1396484375,14088022
